air_pollutant,unit_air_poll_lvl,air_pollutant_level,air_qual_stat_type,year,country,region,AQI_Index,geo_code,exceedance_amount
NO2,ug/m3,93.645,Traffic,2023,France,Western Europe,234.1125,FR,83.645
PM10,ug/m3,25.227,Background,2023,Slovakia,Eastern Europe,63.0675,SK,10.227
PM10,ug/m3,10.424,Background,2023,Ireland,Northern Europe,26.06,IE,0.0
NO2,ug/m3,22.251,Traffic,2023,Norway,Scandinavia Europe,55.627500000000005,NO,12.251000000000001
NO2,ug/m3,32.02,Background,2023,Norway,Scandinavia Europe,80.05000000000001,NO,22.020000000000003
NO2,ug/m3,31.18,Background,2023,France,Western Europe,77.95,FR,21.18
PM10,ug/m3,13.984,Background,2023,Spain,Southern Europe,34.96,ES,0.0
PM2.5,ug/m3,1.538,Background,2023,Norway,Scandinavia Europe,6.152,NO,0.0
PM2.5,ug/m3,14.392,Traffic,2023,Poland,Eastern Europe,57.568,PL,9.392
PM10,ug/m3,30.046,Traffic,2023,Italy,Southern Europe,75.115,IT,15.046
PM2.5,ug/m3,13.505,Background,2023,Poland,Eastern Europe,54.02,PL,8.505
NO2,ug/m3,7.09,Background,2023,Spain,Southern Europe,17.724999999999998,ES,0.0
PM2.5,ug/m3,8.066,Background,2023,Norway,Scandinavia Europe,32.264,NO,3.0660000000000007
NO2,ug/m3,31.716,Background,2023,France,Western Europe,79.29,FR,21.716
PM10,ug/m3,37.955,Background,2023,Spain,Southern Europe,94.8875,ES,22.955
PM2.5,ug/m3,3.919,Background,2023,Norway,Scandinavia Europe,15.676000000000002,NO,0.0
PM2.5,ug/m3,5.59,Background,2023,Norway,Scandinavia Europe,22.36,NO,0.5899999999999999
NO2,ug/m3,12.804,Background,2023,Poland,Eastern Europe,32.01,PL,2.8040000000000003
PM10,ug/m3,15.653,Background,2023,Spain,Southern Europe,39.1325,ES,0.6530000000000005
NO2,ug/m3,11.553,Background,2023,Poland,Eastern Europe,28.8825,PL,1.5530000000000008
PM2.5,ug/m3,13.157,Background,2023,Poland,Eastern Europe,52.628,PL,8.157
PM2.5,ug/m3,4.255,Traffic,2023,Norway,Scandinavia Europe,17.02,NO,0.0
PM2.5,ug/m3,4.848,Traffic,2023,Norway,Scandinavia Europe,19.392,NO,0.0
PM10,ug/m3,22.618,Industrial,2023,Spain,Southern Europe,56.545,ES,7.6179999999999986
PM2.5,ug/m3,6.466,Traffic,2023,Norway,Scandinavia Europe,25.864,NO,1.4660000000000002
NO2,ug/m3,7.708,Background,2023,Poland,Eastern Europe,19.27,PL,0.0
PM10,ug/m3,21.725,Traffic,2023,Spain,Southern Europe,54.31250000000001,ES,6.725000000000001
PM2.5,ug/m3,3.436,Traffic,2023,Norway,Scandinavia Europe,13.744,NO,0.0
NO2,ug/m3,10.844,Background,2023,Poland,Eastern Europe,27.11,PL,0.8439999999999994
NO2,ug/m3,8.694,Background,2023,Poland,Eastern Europe,21.735000000000003,PL,0.0
PM2.5,ug/m3,8.267,Traffic,2023,Norway,Scandinavia Europe,33.068,NO,3.2669999999999995
NO2,ug/m3,20.415,Industrial,2023,Poland,Eastern Europe,51.0375,PL,10.415
NO2,ug/m3,26.955,Traffic,2023,Poland,Eastern Europe,67.3875,PL,16.955
NO2,ug/m3,25.864,Background,2023,France,Western Europe,64.66000000000001,FR,15.864
NO2,ug/m3,4.6,Background,2023,Poland,Eastern Europe,11.5,PL,0.0
NO2,ug/m3,61.496,Traffic,2023,France,Western Europe,153.74,FR,51.496
PM10,ug/m3,6.692,Industrial,2023,Iceland,Scandinavia Europe,16.73,IS,0.0
NO2,ug/m3,71.483,Traffic,2023,France,Western Europe,178.7075,FR,61.483000000000004
NO2,ug/m3,7.816,Background,2023,France,Western Europe,19.54,FR,0.0
NO2,ug/m3,79.284,Traffic,2023,France,Western Europe,198.21,FR,69.284
PM10,ug/m3,22.588,Industrial,2023,Spain,Southern Europe,56.47,ES,7.588000000000001
NO2,ug/m3,21.669,Background,2023,France,Western Europe,54.1725,FR,11.669
PM10,ug/m3,25.453,Industrial,2023,Spain,Southern Europe,63.6325,ES,10.453
